speaker_name,age_event,Career_Group,Gender,daerah_asal,follower,following,total_mention,total_retweet,total_tweet,replies_count,likes_count,views,likes,topic_spread,total_reach
Adi Panuntun,32,C_Level,m,Bandung,2145,807,634,91,207,0,5,19252,77,20,19349
Chandra Tresnadi,32,Academic,m,Bandung,501,520,0,46,1748,0,2,7111,12,19,7142
Rene Suhardono,38,Founder,m,Jakarta,219786,2014,39576,4380,15721,3,2353,116135,1312,361,117808
Betti Alisjahbana,50,C_Level,f,Bandung,6525,331,1736,886,1548,0,501,18935,101,22,19058
Anies Baswedan,42,Government,m,Kuningan,832090,707,117,0,0,0,0,240899,2704,395,243998
Didik Nini Thowok,56,Art,m,Temanggung,21,296,0,0,0,0,0,90388,1246,123,91757
Ewa Wojkowska,24,Founder,f,Kalisz,403,270,18,3,128,1,2,7946,48,63,8057
Jubing Kristianto,45,Art,m,Semarang,9039,60,524,221,392,79,51,363123,2394,220,365737
Muhammad Noer,32,Founder,m,Medan,524,86,166,18,240,5,7,73918,459,58,74435
Musdah Muliah,53,Activist,f,Bone,4803,22,1442,1122,185,219,188,33068,276,94,33438
Zaini Alif,36,Academic,m,Subang,885,119,74,0,5,1,0,111747,2003,335,114085
Khairani Barokka,28,Art,f,Jakarta,0,2994,2410,984,6702,1744,880,4633,43,30,4706
Roni Pramaditia,36,C_Level,m,Bandung,1635,109,4329,86,7,1,0,23037,320,40,23397
Yohanes Surya,49,Academic,m,Jakarta,1699,0,124,949,291,79,98,72468,1185,65,73718
Andrian Ishak,36,Academic,m,Jakarta,3276,401,2055,506,1990,870,96,6647,116,32,6795
Nadine Zamira,30,Activist,f,Jakarta,0,990,16328,8323,30,0,0,1541,6,10,1557
Rahung Nasution,39,Expert,m,Medan,188751,1251,60316,126569,118472,34111,12649,4955,118,40,5113
Ronny Gani,32,Art,m,Tangerang,1847,220,2011,896,1552,595,288,3762,64,4,3830
Sidrotun Naim,35,Academic,f,Sukoharjo,233,36,70,3,47,12,6,4474,91,28,4593
Alex Sihar,52,C_Level,m,Jakarta,679,194,1652,114,386,131,33,4605,144,6,4755
Lianggono Susanto,31,Art,m,Surabaya,815,67,6102,597,17056,3025,76,589,8,1,598
Razi Thalib,26,Founder,m,Jakarta,1196,229,356,400,852,241,148,14218,186,17,14421
Stanley Widianto,21,Writer,m,Jakarta,4033,2001,1760,73,352,0,0,24122,310,5,24437
Wahyu Dhyatmika,38,Journalist,m,Bali,3928,2731,2874,2199,2587,619,250,485,13,3,501
Anindya Krisna,34,Founder,f,Jakarta,425,291,15654,3503,11116,1633,167,7659,74,19,7752
Dian Ara,36,Art,f,Bandung,3025,604,97290,3485,61306,13927,1067,16619,232,14,16865
Faye Simanjuntak,15,Activist,f,Jakarta,0,0,69,0,0,0,0,31451,823,18,32292
Firly Savitri,36,Founder,f,Bogor,1789,498,10947,3718,10269,2180,402,1385,60,9,1454
Iffet Sidharta / Bunda Iffet,80,Art,f,Jakarta,25833,52,7668,2093,429,681,634,7500,97,3,7600
Robbi Zidna Ilman,24,C_Level,m,Bandung,665,900,8393,141,5677,1881,17,280,8,2,290
Ai Nurhidayat,29,C_Level,m,Pangandaran,655,429,3401,298,2143,560,35,1651,60,25,1736
Puri Kencana Putri,34,Expert,f,Jakarta,1686,1425,18580,3254,18807,3331,917,2058,25,3,2086
Hilmar Farid,50,Government,m,Jerman,5575,198,9454,3031,1169,471,305,2268,103,1,2372
Yolla Primadona,26,Sport,m,Padang,0,0,0,0,0,0,0,1537,16,2,1555
Karlina Octaviany,33,C_Level,f,Jakarta,1833,890,35420,2262,49133,5674,631,630,16,0,646
Grace Natalie,36,Politics,f,Jakarta,556414,743,37649,82148,7784,34062,117475,3362,75,3,3440
Widharmika Agung,37,C_Level,m,Jakarta,213,218,176,65,245,70,24,537,24,2,563
Fadly Rahman,37,Writer,m,Bogor,126,231,176,38,131,17,44,1148,33,4,1185
Theater Pandora,5,Art,m,Jakarta,632,116,886,369,393,66,62,489,32,3,524
Ahmad Arif,42,Journalist,m,Jakarta,4865,337,4993,94968,2464,829,472,600,34,2,636
Erik Prasetya,61,Art,m,Padang,800,171,838,137,49,28,42,348,13,1,362
My-Lan Dodd,36,Expert,f,Seattle,11403,1866,14514,18349,5785,517,16083,600,18,14,632
Farwiza Farhan,33,Activist,f,Aceh,2033,1104,10596,1434,8116,1543,1035,1321,65,0,1386
Kenny Santana,29,Traveler,m,Jakarta,21007,1176,60499,23024,63841,20462,14320,8738,212,4,8954
Pinot and Neverland Family,43,Art,f,Surabaya,13309,782,82721,21916,61710,22758,16668,5746,232,83,6061
